display_name,canonical_wikipedia_url,battle_id,battle_name,wikipedia_title,page_type,side,belligerent,old_outcome_category,new_outcome_category,page_result_type,page_result_raw,override_justification,override_evidence_basis
Skanderbeg,https://en.wikipedia.org/wiki/Skanderbeg,battle_48066312,Skanderbeg's rebellion,Skanderbeg's rebellion,war_conflict_article,side_a,18px League of Lezhë 20px Crown of Aragon (from 1451) 18px Kingdom of Naples 20px Republic of Venice (from 1463),unknown,defeat,victory,Ottoman victory Death of Skanderbeg End of Skanderbeg's rebellion,Retained page result begins with `ottoman` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Ottoman victory Death of Skanderbeg End of Skanderbeg's rebellion
Murad II,https://en.wikipedia.org/wiki/Murad_II,battle_48066312,Skanderbeg's rebellion,Skanderbeg's rebellion,war_conflict_article,side_b,20px Ottoman Empire 20px Republic of Venice (1447–48),unknown,victory,victory,Ottoman victory Death of Skanderbeg End of Skanderbeg's rebellion,Retained page result begins with `ottoman` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Ottoman victory Death of Skanderbeg End of Skanderbeg's rebellion
Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,battle_48066312,Skanderbeg's rebellion,Skanderbeg's rebellion,war_conflict_article,side_b,20px Ottoman Empire 20px Republic of Venice (1447–48),unknown,victory,victory,Ottoman victory Death of Skanderbeg End of Skanderbeg's rebellion,Retained page result begins with `ottoman` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Ottoman victory Death of Skanderbeg End of Skanderbeg's rebellion
Skanderbeg,https://en.wikipedia.org/wiki/Skanderbeg,battle_19380370,Battle of Torvioll,Battle of Torvioll,battle_article,side_a,Albania_Flag.png League of Lezhë,unknown,victory,victory,Albanian victory,Retained page result begins with `albanian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Albanian victory
Skanderbeg,https://en.wikipedia.org/wiki/Skanderbeg,battle_21285768,Battle of Mokra (1445),Battle of Mokra (1445),battle_article,side_a,Albania_Flag.png League of Lezhë,unknown,victory,victory,Albanian victory,Retained page result begins with `albanian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Albanian victory
Skanderbeg,https://en.wikipedia.org/wiki/Skanderbeg,battle_22755271,Battle of Otonetë,Battle of Otonetë,battle_article,side_a,Albania_Flag.png League of Lezhë,unknown,victory,victory,Albanian victory,Retained page result begins with `albanian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Albanian victory
Lekë Dukagjini,https://en.wikipedia.org/wiki/Lek%C3%AB_Dukagjini,battle_22755271,Battle of Otonetë,Battle of Otonetë,battle_article,side_a,Albania_Flag.png League of Lezhë,unknown,victory,victory,Albanian victory,Retained page result begins with `albanian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Albanian victory
Abdal-Latif Mirza,https://en.wikipedia.org/wiki/Abdal-Latif_Mirza,battle_38460123,Siege of Balkh (1447),Siege of Balkh (1447),battle_article,side_b,Timurids of Samarkand,unknown,stalemate,unknown,Status quo ante bellum,Retained page result is explicitly status quo ante bellum.,page_result_raw=Status quo ante bellum
Skanderbeg,https://en.wikipedia.org/wiki/Skanderbeg,battle_23123263,Battle of Oranik (1448),Battle of Oranik (1448),battle_article,side_a,Albania_Flag.png League of Lezhë,unknown,victory,victory,Albanian victory,Retained page result begins with `albanian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Albanian victory
Skanderbeg,https://en.wikipedia.org/wiki/Skanderbeg,battle_4016222,Siege of Krujë (1450),Siege of Krujë (1450),battle_article,side_a,Albania_Flag.png League of Lezhë,unknown,victory,victory,Albanian victory,Retained page result begins with `albanian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Albanian victory
Murad II,https://en.wikipedia.org/wiki/Murad_II,battle_4016222,Siege of Krujë (1450),Siege of Krujë (1450),battle_article,side_b,Ottoman Empire Ottoman Empire,unknown,defeat,victory,Albanian victory,Retained page result begins with `albanian` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Albanian victory
Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,battle_4016222,Siege of Krujë (1450),Siege of Krujë (1450),battle_article,side_b,Ottoman Empire Ottoman Empire,unknown,defeat,victory,Albanian victory,Retained page result begins with `albanian` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Albanian victory
Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,battle_73740118,Siege of Smederevo (1459),Siege of Smederevo (1459),battle_article,side_a,Ottoman red flag.svg Ottoman Empire,unknown,victory,victory,Ottoman victory Fall of Serbian Despotate,Retained page result begins with `ottoman` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Ottoman victory Fall of Serbian Despotate
Mahmud Pasha Angelović,https://en.wikipedia.org/wiki/Mahmud_Pasha_Angelovi%C4%87,battle_73740118,Siege of Smederevo (1459),Siege of Smederevo (1459),battle_article,side_a,Ottoman red flag.svg Ottoman Empire,unknown,victory,victory,Ottoman victory Fall of Serbian Despotate,Retained page result begins with `ottoman` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Ottoman victory Fall of Serbian Despotate
Selim I,https://en.wikipedia.org/wiki/Selim_I,battle_46306254,Battle of Turnadağ,Battle of Turnadağ,battle_article,side_a,25px|border Ottoman Empire,unknown,victory,victory,Ottoman victory Annexation of the Beylik of Dulkadir,Retained page result begins with `ottoman` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Ottoman victory Annexation of the Beylik of Dulkadir
Hadım Sinan Pasha,https://en.wikipedia.org/wiki/Had%C4%B1m_Sinan_Pasha,battle_46306254,Battle of Turnadağ,Battle of Turnadağ,battle_article,side_a,25px|border Ottoman Empire,unknown,victory,victory,Ottoman victory Annexation of the Beylik of Dulkadir,Retained page result begins with `ottoman` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Ottoman victory Annexation of the Beylik of Dulkadir
Selim I,https://en.wikipedia.org/wiki/Selim_I,battle_7364983,Battle of Ridaniya,Battle of Ridaniya,battle_article,side_a,Ottoman Empire Ottoman Empire,unknown,victory,victory,Ottoman victory Collapse of the Mamluk Sultanate,Retained page result begins with `ottoman` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Ottoman victory Collapse of the Mamluk Sultanate
Hadım Sinan Pasha,https://en.wikipedia.org/wiki/Had%C4%B1m_Sinan_Pasha,battle_7364983,Battle of Ridaniya,Battle of Ridaniya,battle_article,side_a,Ottoman Empire Ottoman Empire,unknown,victory,victory,Ottoman victory Collapse of the Mamluk Sultanate,Retained page result begins with `ottoman` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Ottoman victory Collapse of the Mamluk Sultanate
Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,battle_386667,Siege of Vienna (1529),Siege of Vienna (1529),battle_article,side_b,Ottoman Empire Ottoman Empire Moldavia Moldavia (Vassal state),unknown,defeat,victory,Habsburg victory,Retained page result states Habsburg victory while Suleiman is attached to the Ottoman side.,page_result_raw=Habsburg victory
Quizquiz,https://en.wikipedia.org/wiki/Quizquiz,battle_18832396,Battle of Huanucopampa,Battle of Huanucopampa,battle_article,side_a,Atahualpans,unknown,indecisive,unknown,"Inconclusive, successful retreat by Huáscar's army",Retained page result is explicitly inconclusive.,"page_result_raw=Inconclusive, successful retreat by Huáscar's army"
