analytic_commander_id,display_name,canonical_wikipedia_url,total_rows,verified_core_rows,verified_broad_rows,structurally_suspect_rows,quarantined_rows,dominant_verification_status
acmd_c15bcc5f13ea,Daniel arap Moi,https://en.wikipedia.org/wiki/Daniel_arap_Moi,2,2,0,0,0,verified_core
acmd_c15d92249597,J. C. Thornton,,1,1,0,0,0,verified_core
acmd_c1612fbb08b9,Luigi Faggioni,https://en.wikipedia.org/wiki/Luigi_Faggioni,1,1,0,0,0,verified_core
acmd_c16213a1f87f,Ikeda Terumasa,https://en.wikipedia.org/wiki/Ikeda_Terumasa,3,2,0,1,0,structurally_suspect
acmd_c162b5adb0b0,Nikolai de Pieri,https://en.wikipedia.org/wiki/Nikolai_de_Pieri,1,1,0,0,0,verified_core
acmd_c1712918755a,Časlav of Serbia,https://en.wikipedia.org/wiki/%C4%8Caslav_of_Serbia,1,0,1,0,0,verified_broad
acmd_c1720cb62580,Richard Tyrrell,https://en.wikipedia.org/wiki/Richard_Tyrrell,2,1,0,1,0,structurally_suspect
acmd_c174cd8ac06b,Omar Maute,https://en.wikipedia.org/wiki/Omar_Maute,2,1,0,1,0,structurally_suspect
acmd_c176cc4f12e7,Gan Yanshou,https://en.wikipedia.org/wiki/Gan_Yanshou,1,1,0,0,0,verified_core
acmd_c178248a9799,Comrade Artemio,https://en.wikipedia.org/wiki/Comrade_Artemio,1,1,0,0,0,verified_core
acmd_c17966ce241c,Irakli Chikovani,https://en.wikipedia.org/wiki/Irakli_Chikovani,1,1,0,0,0,verified_core
acmd_c17aa3e041d2,Holy Roman Empire Gottfried von Strauch,,1,1,0,0,0,verified_core
acmd_c17d1fe7479d,Penn Nouth,https://en.wikipedia.org/wiki/Penn_Nouth,1,1,0,0,0,verified_core
acmd_c1803ffea9ba,Claude de Forbin,https://en.wikipedia.org/wiki/Claude_de_Forbin,2,2,0,0,0,verified_core
acmd_c184d79a81b8,Sinan Reis,https://en.wikipedia.org/wiki/Sinan_Reis,3,1,1,1,0,structurally_suspect
acmd_c185397b809d,Eduard von Knorr,https://en.wikipedia.org/wiki/Eduard_von_Knorr,2,2,0,0,0,verified_core
acmd_c185da494601,Elias Smith Dennis,https://en.wikipedia.org/wiki/Elias_Smith_Dennis,1,1,0,0,0,verified_core
acmd_c186170067a8,Waichirō Sonobe,https://en.wikipedia.org/wiki/Waichir%C5%8D_Sonobe,4,3,1,0,0,verified_broad
acmd_c18aa7fe43b3,"Sambor II, Duke of Pomerania",https://en.wikipedia.org/wiki/Sambor_II%2C_Duke_of_Pomerania,3,1,1,1,0,structurally_suspect
