rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_sustained_scale,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
62,76.08466104342394,strong,acmd_8859ec6c1865,Babur,https://en.wikipedia.org/wiki/Babur,early_modern,11,11,0,0,0,7,0.6363636363636364,0.35703884853223494,86.03561387066541,,64.58919087785067,93.90815370196813,84.20805998125586,18.181818181818183,21.321462043111527,35,0.0,battle_dominant,
63,75.95657606997813,strong,acmd_0cf8151e7cf9,Rodion Malinovsky,https://en.wikipedia.org/wiki/Rodion_Malinovsky,world_wars,16,8,7,0,1,13,0.8125,0.39668535339061584,89.50328022492971,,77.72571071540145,22.492970946579195,90.72164948453609,98.40674789128397,44.61105904404874,3,0.4265232974910394,operation_heavy,
64,75.8034989065917,strong,acmd_be0dead43626,Peter Wittgenstein,https://en.wikipedia.org/wiki/Peter_Wittgenstein,revolutionary_napoleonic,16,15,0,0,1,14,0.875,0.3378370437377963,81.25585754451734,,66.2293033427054,75.72633552014996,92.36176194939083,47.46954076850984,63.73008434864105,20,0.02280130293159609,battle_dominant,
65,75.70399875039051,strong,acmd_94390629dbd3,Frederick the Great,https://en.wikipedia.org/wiki/Frederick_the_Great,early_modern,26,21,0,0,5,24,0.9230769230769231,0.28542078135045684,72.44611059044048,,67.69759450171821,77.83505154639175,97.8444236176195,84.77038425492034,75.44517338331771,21,0.07692307692307693,battle_dominant,
66,75.58731646360512,strong,acmd_eec0f4ec373e,Francis Vere,https://en.wikipedia.org/wiki/Francis_Vere,early_modern,18,18,0,0,0,17,0.9444444444444444,0.4193564634258223,93.34582942830365,,49.703217744454854,66.44798500468603,95.31396438612933,18.181818181818183,76.28865979381443,16,0.0,battle_dominant,
67,75.48609809434551,strong,acmd_3435325eb9b0,George S. Patton,https://en.wikipedia.org/wiki/George_S._Patton,world_wars,11,6,5,0,0,10,0.9090909090909091,0.4289436278536494,93.72071227741331,,67.69759450171821,22.492970946579195,80.50609184629803,95.64198687910029,65.22961574507966,3,0.4,operation_heavy,
68,75.47953764448609,strong,acmd_4553085c23c9,Fedor von Bock,https://en.wikipedia.org/wiki/Fedor_von_Bock,world_wars,18,13,5,0,0,13,0.7222222222222222,0.4204047595185458,93.43955014058108,,69.00968447360201,22.492970946579195,94.00187441424555,95.64198687910029,27.928772258669166,3,0.23529411764705882,battle_dominant,
69,75.39831302717901,strong,acmd_e57884ddb832,Charles-Pierre Augereau,https://en.wikipedia.org/wiki/Charles-Pierre_Augereau,revolutionary_napoleonic,29,24,0,0,5,26,0.896551724137931,0.2831227814268761,72.07122774133083,,68.79100281162137,75.72633552014996,98.87535145267104,84.77038425492034,71.88378631677601,20,0.06796116504854369,battle_dominant,
70,75.33348953452047,strong,acmd_eb09136d57ea,Lennart Torstensson,https://en.wikipedia.org/wiki/Lennart_Torstensson,early_modern,12,10,0,0,2,8,0.6666666666666666,0.49230769230769234,98.40674789128397,,42.752264917213374,61.34020618556701,83.27085285848173,64.1518275538894,28.069353327085285,14,0.06542056074766354,battle_dominant,
71,75.26319900031241,strong,acmd_8ff67c26331f,Jean Victor Marie Moreau,https://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau,revolutionary_napoleonic,22,22,0,0,0,21,0.9545454545454546,0.37922795151117433,88.19119025304593,,53.24898469228366,73.33645735707591,97.46954076850984,18.181818181818183,77.22586691658857,19,0.0,battle_dominant,
72,75.22852233676977,strong,acmd_b7e856700f22,Konstantin Rokossovsky,https://en.wikipedia.org/wiki/Konstantin_Rokossovsky,world_wars,17,10,7,0,0,17,1.0,0.36009156796465863,86.50421743205249,,66.2293033427054,29.194001874414244,92.50234301780694,97.8444236176195,88.89409559512652,4,0.35897435897435903,operation_heavy,
73,75.10246797875665,strong,acmd_417edae47af2,Ras Alula,https://en.wikipedia.org/wiki/Ras_Alula,long_nineteenth_century,6,4,0,0,2,6,1.0,0.4363636363636363,94.23617619493908,,60.09059668853484,77.83505154639175,15.979381443298967,64.1518275538894,88.89409559512652,21,0.14893617021276595,mixed_profile,
74,75.0838800374883,strong,acmd_8a9267fb6cd4,John III Sobieski,https://en.wikipedia.org/wiki/John_III_Sobieski,early_modern,11,10,0,0,1,10,0.9090909090909091,0.35081028563402966,82.56794751640113,,64.90159325210871,73.33645735707591,82.14620431115276,47.46954076850984,72.11808809746955,19,0.033816425120772944,battle_dominant,
