display_name,canonical_wikipedia_url,primary_era_bucket,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,score_baseline_conservative,score_hierarchical_trust_v2,score_hierarchical_weighted,trust_tier_v2,trust_confidence_v2,trust_headline_reason_v2,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,distinct_opponents_strict,known_outcome_count,outcome_profile_summary,page_type_exposure_summary,page_type_profile_class,stability_label,caution_flags
Hubert Gough,https://en.wikipedia.org/wiki/Hubert_Gough,world_wars,56.0,87.0,41.0,50.0,40.0,31.0,32.0,82.61843790012803,81.6439545758183,79.80939657091962,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",22,20,12,2,17,V=12; D=2; N=3; U=5,B=20; O=2; C=0; W=0,battle_dominant,highly_model_sensitive,
Heinz Guderian,https://en.wikipedia.org/wiki/Heinz_Guderian,world_wars,42.0,54.0,42.0,35.0,56.0,46.0,22.0,85.88668373879642,81.50434201736806,80.97673124025829,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 42 but not stable enough for the headline core.,13,13,9,6,11,V=8; D=1; N=2; U=2,B=13; O=0; C=0; W=0,battle_dominant,model_sensitive,
George S. Patton,https://en.wikipedia.org/wiki/George_S._Patton,world_wars,279.0,304.0,43.0,48.0,38.0,51.0,59.0,58.03457106274008,81.46492985971943,80.04397684257404,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",11,6,11,8,10,V=9; D=0; N=1; U=1,B=6; O=5; C=0; W=0,battle_dominant,highly_model_sensitive,
Ögedei Khan,https://en.wikipedia.org/wiki/%C3%96gedei_Khan,medieval,106.0,217.0,44.0,59.0,34.0,72.0,46.0,75.00960307298335,81.20106880427522,79.43910042306837,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",12,9,7,7,12,V=10; D=2; N=0; U=0,B=9; O=0; C=0; W=3,battle_dominant,highly_model_sensitive,
Fyodor Tolbukhin,https://en.wikipedia.org/wiki/Fyodor_Tolbukhin,world_wars,173.0,136.0,45.0,54.0,46.0,48.0,42.0,68.04737516005122,81.15497661990649,79.60710309507905,model_sensitive_band,caution,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers.",13,5,8,13,11,V=10; D=0; N=1; U=2,B=5; O=8; C=0; W=0,battle_dominant,highly_model_sensitive,higher_level_dependent
Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin,world_wars,618.0,1210.0,46.0,87.0,24.0,116.0,70.0,30.230473751600513,81.062124248497,76.52081941661102,model_sensitive_band,caution,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers.",17,5,14,26,10,V=6; D=2; N=2; U=7,B=5; O=6; C=0; W=6,battle_dominant,highly_model_sensitive,higher_level_dependent
Radomir Putnik,https://en.wikipedia.org/wiki/Radomir_Putnik,long_nineteenth_century,161.0,129.0,47.0,47.0,35.0,87.0,77.0,69.04609475032011,80.89579158316633,80.17178802048541,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",9,5,7,6,7,V=6; D=1; N=0; U=2,B=5; O=2; C=0; W=2,battle_dominant,highly_model_sensitive,
Ivan Konev,https://en.wikipedia.org/wiki/Ivan_Konev,world_wars,136.0,378.0,48.0,110.0,74.0,93.0,107.0,71.21638924455826,80.82631930527722,75.16032064128257,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",21,16,13,14,17,V=9; D=5; N=3; U=4,B=16; O=5; C=0; W=0,battle_dominant,highly_model_sensitive,
Konstantin Rokossovsky,https://en.wikipedia.org/wiki/Konstantin_Rokossovsky,world_wars,213.0,683.0,49.0,71.0,47.0,71.0,56.0,64.76952624839949,80.76820307281228,77.5172567356936,model_sensitive_band,caution,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers.",17,10,9,9,17,V=14; D=3; N=0; U=0,B=10; O=7; C=0; W=0,battle_dominant,highly_model_sensitive,higher_level_dependent
Jan Karol Chodkiewicz,https://en.wikipedia.org/wiki/Jan_Karol_Chodkiewicz,early_modern,26.0,29.0,50.0,53.0,41.0,45.0,38.0,89.76952624839949,80.56579826319305,79.6499665998664,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 50 but not stable enough for the headline core.,12,12,7,11,10,V=9; D=1; N=0; U=2,B=12; O=0; C=0; W=0,battle_dominant,model_sensitive,
